time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-08T03:31:39.350Z,-24.0563,-66.7989,187.45,4.6,mb,,34,1.677,1.17,us,us1000i4xi,2019-02-16T19:52:31.040Z,"51km WNW of San Antonio de los Cobres, Argentina",earthquake,7.5,7.9,0.036,234,reviewed,us,us
2018-12-07T17:40:21.250Z,-24.2401,-66.9738,152.66,4.5,mb,,43,1.693,1.24,us,us2000itab,2019-02-16T19:52:30.040Z,"66km W of San Antonio de los Cobres, Argentina",earthquake,5.1,10.2,0.241,6,reviewed,us,us
2018-12-07T09:44:18.890Z,-29.008,-70.3583,92.49,4.8,mb,,52,0.186,0.78,us,us1000i425,2019-02-16T19:52:29.040Z,"62km SE of Vallenar, Chile",earthquake,4.1,4.8,0.045,150,reviewed,us,us
2018-12-06T05:24:14.280Z,-30.725,-71.4179,32.22,4.8,mb,,50,0.193,0.83,us,us1000i3ak,2019-02-16T19:52:26.040Z,"25km SW of Ovalle, Chile",earthquake,3.4,4.7,0.07,62,reviewed,us,us
2018-12-05T17:12:13.700Z,-33.6578,-71.6324,34.75,5,mww,,59,0.015,1.14,us,us1000i2xc,2019-02-16T19:52:24.040Z,"7km S of San Antonio, Chile",earthquake,4.1,4.8,0.117,7,reviewed,us,us
2018-12-02T11:04:18.030Z,-30.6485,-71.8774,24.25,4.5,mb,,125,0.21,0.89,us,us1000i0eu,2019-02-09T19:02:20.040Z,"65km W of Ovalle, Chile",earthquake,5.1,7.4,0.204,7,reviewed,us,us
2018-12-01T23:59:21.080Z,-33.9443,-72.379,18.67,4.7,mwr,,78,0.698,0.73,us,us1000i02z,2019-02-09T19:02:19.040Z,"80km WSW of San Antonio, Chile",earthquake,4.1,1.1,0.098,10,reviewed,us,us
2018-12-01T23:55:24.630Z,-33.9216,-72.401,10,5.5,mww,,47,0.706,0.8,us,us1000i02j,2019-02-16T23:50:50.292Z,"80km WSW of San Antonio, Chile",earthquake,3.2,1.5,0.052,35,reviewed,us,us
2018-11-28T18:32:36.630Z,-33.6782,-72.2543,10,4.5,mb,,173,0.534,0.63,us,us1000hxjc,2019-02-09T19:02:11.040Z,"59km W of San Antonio, Chile",earthquake,4.9,1.7,0.163,11,reviewed,us,us
2018-11-27T17:22:43.620Z,-19.4184,-69.1604,106.24,4.5,mb,,84,0.25,1.45,us,us1000hx2l,2019-02-09T19:02:10.040Z,"135km NE of Iquique, Chile",earthquake,5.9,5.1,0.086,40,reviewed,us,us
2018-11-26T14:12:24.370Z,-39.8546,-71.417,159.81,4.6,mb,,64,0.273,0.52,us,us1000hwn6,2019-02-09T19:02:10.040Z,"31km WNW of Junin de los Andes, Argentina",earthquake,6.4,5.5,0.109,25,reviewed,us,us
2018-11-23T18:28:12.700Z,-24.0638,-66.8131,177.3,4.6,mb,,39,1.672,1.03,us,us1000hvx5,2019-02-02T20:02:29.040Z,"53km WNW of San Antonio de los Cobres, Argentina",earthquake,5.1,5.9,0.046,147,reviewed,us,us
